Commentary	Ref	Literature(PubmedID)	value
gel filtration	0	0	55000.0
1 	0	0	60000.0
2 	17	12829303	27500.0
gel filtration	17	12829303	54000.0
2 	18	12829303	27500.0
gel filtration	18	12829303	54000.0
2 	19	12829303	27500.0
gel filtration	19	12829303	54000.0
2 	20	12829303	27500.0
gel filtration	20	12829303	54000.0
gel filtration	50	0	15900.0
x 	53	19916085	42500.0
x 	54	19916085	42500.0
1 	67	18989576	63000.0
1 	68	18989576	63000.0
1 	69	18989576	63000.0
	105	25331377	130000.0
	105	25331377	131500.0
	106	25331377	130000.0
	106	25331377	131500.0
isoform xyl II, gelfiltration	124	0	7700.0
1 	124	0	17700.0
isoform xyl I, gelfiltration	124	0	26300.0
1 	124	0	27000.0
x 	126	15715941	21000.0
x 	126	15715941	24000.0
x 	127	15715941	21000.0
x 	127	15715941	24000.0
x 	136	0	23000.0
	136	26847222	24500.0
SDS-PAGE	136	100112400	66000.0
x 	137	0	23000.0
	137	26847222	24500.0
SDS-PAGE	137	100112400	66000.0
x 	138	0	23000.0
	138	26847222	24500.0
SDS-PAGE	138	100112400	66000.0
x 	139	0	23000.0
	139	26847222	24500.0
SDS-PAGE	139	100112400	66000.0
x 	140	0	23000.0
	140	26847222	24500.0
SDS-PAGE	140	100112400	66000.0
x 	141	0	23000.0
	141	26847222	24500.0
SDS-PAGE	141	100112400	66000.0
x 	148	15114860	21000.0
x 	148	15114860	24000.0
x 	149	15114860	21000.0
x 	149	15114860	24000.0
x 	150	15114860	21000.0
x 	150	15114860	24000.0
x 	151	20159568	25100.0
x 	152	20159568	25100.0
x 	153	20159568	25100.0
	155	26686608	23000.0
	155	26686608	23300.0
	156	26686608	23000.0
	156	26686608	23300.0
	157	26686608	23000.0
	157	26686608	23300.0
	158	26686608	23000.0
	158	26686608	23300.0
	159	26686608	23000.0
	159	26686608	23300.0
x 	162	0	34000.0
x 	163	0	34000.0
x 	164	0	34000.0
x 	165	0	34000.0
x 	166	0	34000.0
x 	167	0	34000.0
x 	168	0	34000.0
x 	169	0	34000.0
xylanase I, gel filtration	171	18553703	12000.0
xylanase II, gel filtration	171	18553703	13500.0-14000.0
gel filtration	171	18553704	16500.0
x 	171	23670313	20000.0
SDS-PAGE	171	0	21000.0
x 	171	16091777	23000.0
x 	171	24888408	23000.0
gel filtration	171	19078	24000.0
x 	171	18553705	28000.0
xylanase II, gel filtration	171	455113	31000.0
1 	171	100069532	33000.0
gel filtration	171	100069532	34000.0
xylanase IA and IB, gel filtration	171	455113	50000.0
xylanase I, gel filtration	172	18553703	12000.0
xylanase II, gel filtration	172	18553703	13500.0-14000.0
gel filtration	172	18553704	16500.0
x 	172	23670313	20000.0
SDS-PAGE	172	0	21000.0
x 	172	16091777	23000.0
x 	172	24888408	23000.0
gel filtration	172	19078	24000.0
x 	172	18553705	28000.0
xylanase II, gel filtration	172	455113	31000.0
1 	172	100069532	33000.0
gel filtration	172	100069532	34000.0
xylanase IA and IB, gel filtration	172	455113	50000.0
xylanase I, gel filtration	173	18553703	12000.0
xylanase II, gel filtration	173	18553703	13500.0-14000.0
gel filtration	173	18553704	16500.0
x 	173	23670313	20000.0
SDS-PAGE	173	0	21000.0
x 	173	16091777	23000.0
x 	173	24888408	23000.0
gel filtration	173	19078	24000.0
x 	173	18553705	28000.0
xylanase II, gel filtration	173	455113	31000.0
1 	173	100069532	33000.0
gel filtration	173	100069532	34000.0
xylanase IA and IB, gel filtration	173	455113	50000.0
xylanase I, gel filtration	174	18553703	12000.0
xylanase II, gel filtration	174	18553703	13500.0-14000.0
gel filtration	174	18553704	16500.0
x 	174	23670313	20000.0
SDS-PAGE	174	0	21000.0
x 	174	16091777	23000.0
x 	174	24888408	23000.0
gel filtration	174	19078	24000.0
x 	174	18553705	28000.0
xylanase II, gel filtration	174	455113	31000.0
1 	174	100069532	33000.0
gel filtration	174	100069532	34000.0
xylanase IA and IB, gel filtration	174	455113	50000.0
xylanase I, gel filtration	175	18553703	12000.0
xylanase II, gel filtration	175	18553703	13500.0-14000.0
