Commentary	Ref	Literature(PubmedID)	value
wild-type and mutant enzymes	0	19640703	50.0-60.0
	1	26628911	60.0
	2	26628911	60.0
recombinant EGXA with xylan as substrate	5	18989576	45.0
	6	25331377	45.0
	9	15715941	55.0
	10	100112400	90.0
	11	26686608	45.0
hydrolysis of oat spelt xylan	13	0	56.0
xylanase IA and IB	14	455113	65.0-80.0
xylanase IA and IB	15	455113	65.0-80.0
recombinant enzyme	19	19412581	50.0
assay at	21	20074594	40.0
	22	22932960	90.0
	23	22932960	90.0
X-II	26	16915648	75.0
recombinant enzyme	28	21369910	50.0
	30	0	80.0
wild-type DELTAXBD	32	19352020	55.0
thermostable variant XynAG3 and chimeric enzyme CorAXynAG3	33	22006920	70.0
thermostable variant XynAG3 and chimeric enzyme CorAXynAG3	34	22006920	70.0
thermostable variant XynAG3 and chimeric enzyme CorAXynAG3	35	22006920	70.0
thermostable variant XynAG3 and chimeric enzyme CorAXynAG3	36	22006920	70.0
	42	22487213	55.0
recombinant Xyl10C	45	19655217	85.0
recombinant Xyl10C	46	19655217	85.0
recombinant N-terminal + catalytic domains	50	11065373	90.0
about	51	100550709	45.0
xylanase A	52	0	45.0
mutant enzyme	53	0	55.0
	55	24908422	55.0
	57	18027102	60.0
	60	20213504	70.0
	61	20213504	70.0
hydrolysis of xylan	65	7765974	80.0
	66	19884762	55.0
	67	11222610	35.0
; 	71	15629130	35.0
; 	72	15629130	35.0
	73	0	55.0
	77	17383610	40.0
	78	19809242	55.0
	81	25058752	80.0
	83	26387816	45.0
	84	25951846	80.0
	85	25951846	80.0
	86	25951846	80.0
	90	24861346	60.0
	92	27240670	65.0
	94	18415096	45.0
	95	18415096	45.0
	96	18415096	45.0
recombinant enzyme	97	19838860	55.0
recombinant His-tagged enzyme	99	19759868	75.0
	100	0	60.0
	102	19349753	60.0
	103	19349753	60.0
	104	19349753	60.0
	108	25112314	65.0
	109	25112314	65.0
	112	23157299	70.0
	113	16473771	55.0
	114	16473771	55.0
recombinant enzyme	119	19626289	40.0
	120	21120468	70.0
cold-adapted enzyme	121	12089151	25.0
cold-adapted enzyme	122	12089151	25.0
	124	24170174	80.0
	128	27841749	75.0
	129	27841749	75.0
	130	27841749	75.0
	131	27841749	75.0
	132	27841749	75.0
	133	27841749	75.0
	138	21979072	70.0
	140	23410928	50.0
	141	19554324	45.0
purified heavier protein band (42.8 kDa)	142	18645964	60.0
	144	27146990	60.0
at pH 7.8	146	18388456	60.0
	147	0	60.0
	148	20361933	65.0
	149	10689075	60.0
	150	10689075	60.0
	151	19002659	65.0
	152	18521591	60.0
recombinant enzyme	155	19412576	60.0
recombinant enzyme	156	0	55.0
native enzyme	158	0	60.0
	160	18568289	90.0
all 3 isozymes	163	0	55.0
	165	21466666	80.0
	166	21466666	80.0
	167	21466666	80.0
	168	21466666	80.0
	170	0	80.0
recombinant protein, both with and without His-tag	171	25887328	80.0
recombinant protein, both with and without His-tag	172	25887328	80.0
	173	9648252	75.0
	174	9648252	75.0
	175	9648252	75.0
	180	0	90.0
	181	0	45.0
recombinant hybrid mutant	182	19426845	65.0
recombinant hybrid mutant	183	19426845	65.0
recombinant hybrid mutant	184	19426845	65.0
recombinant hybrid mutant	185	19426845	65.0
native enzyme	188	18515360	65.0
	189	21455595	65.0
	190	21455595	65.0
	191	21455595	65.0
