Commentary	Ref	Literature(PubmedID)	value
	9	20851989	6.0
	10	20851989	6.0
	11	20851989	6.0
	12	20851989	6.0
	17	12829303	6.5
	17	10989179	7.0
	18	12829303	6.5
	18	10989179	7.0
	19	12829303	6.5
	19	10989179	7.0
	20	12829303	6.5
	20	10989179	7.0
recombinant XynS14	29	21269876	6.0
	53	26628911	6.0
	53	19916085	7.0
	54	26628911	6.0
	54	19916085	7.0
	61	18597051	6.0
assay at	63	25784958	5.0
recombinant EGXA with xylan as substrate	67	18989576	6.0
recombinant EGXA with xylan as substrate	68	18989576	6.0
recombinant EGXA with xylan as substrate	69	18989576	6.0
assay at	104	25784958	5.0
	105	25331377	6.5
	106	25331377	6.5
isoform xyl II	124	0	5.5-6.5
isoform xyl I	124	0	6.5-7.0
	126	15715941	5.0
	127	15715941	5.0
	136	100112400	5.0
	136	26847222	5.0
	137	100112400	5.0
	137	26847222	5.0
	138	100112400	5.0
	138	26847222	5.0
	139	100112400	5.0
	139	26847222	5.0
	140	100112400	5.0
	140	26847222	5.0
	141	100112400	5.0
	141	26847222	5.0
xylanase I	148	15114860	6.0-6.5
xylanase II	148	15114860	6.0
xylanase I	149	15114860	6.0-6.5
xylanase II	149	15114860	6.0
xylanase I	150	15114860	6.0-6.5
xylanase II	150	15114860	6.0
	151	20159568	5.0
	152	20159568	5.0
	153	20159568	5.0
wild-type	155	26686608	2.0
mutant T64S	155	26686608	3.8
mutant D48N/T64S	155	26686608	5.0
wild-type	156	26686608	2.0
mutant T64S	156	26686608	3.8
mutant D48N/T64S	156	26686608	5.0
wild-type	157	26686608	2.0
mutant T64S	157	26686608	3.8
mutant D48N/T64S	157	26686608	5.0
wild-type	158	26686608	2.0
mutant T64S	158	26686608	3.8
mutant D48N/T64S	158	26686608	5.0
wild-type	159	26686608	2.0
mutant T64S	159	26686608	3.8
mutant D48N/T64S	159	26686608	5.0
	162	0	6.0
	163	0	6.0
	164	0	6.0
	165	0	6.0
	166	0	6.0
	167	0	6.0
	168	0	6.0
	169	0	6.0
xylanase Ib	171	455113	4.0-4.5
xylanase IIa, IIB and IIC	171	455113	4.0
	171	19078	4.0
	171	18553704	4.9
	171	18553705	5.0
	171	0	5.0
hybrid xylanase and its Aspergillus parent	171	18688581	5.0
	171	24888408	5.0
assay at	171	23241981	5.0
xylanase IA	171	455113	5.5-6.0
xylanase II	171	18553703	5.5
assay at	171	15063320	5.6
xylanase IID	171	455113	6.0-6.5
xylanase I	171	18553703	6.0
assay at	171	20361933	6.0
	171	100069532	6.0
	171	17445930	7.0
xylanase Ib	172	455113	4.0-4.5
xylanase IIa, IIB and IIC	172	455113	4.0
	172	19078	4.0
	172	18553704	4.9
	172	18553705	5.0
	172	0	5.0
hybrid xylanase and its Aspergillus parent	172	18688581	5.0
	172	24888408	5.0
assay at	172	23241981	5.0
xylanase IA	172	455113	5.5-6.0
xylanase II	172	18553703	5.5
assay at	172	15063320	5.6
xylanase IID	172	455113	6.0-6.5
xylanase I	172	18553703	6.0
assay at	172	20361933	6.0
	172	100069532	6.0
	172	17445930	7.0
xylanase Ib	173	455113	4.0-4.5
xylanase IIa, IIB and IIC	173	455113	4.0
	173	19078	4.0
	173	18553704	4.9
	173	18553705	5.0
	173	0	5.0
hybrid xylanase and its Aspergillus parent	173	18688581	5.0
	173	24888408	5.0
assay at	173	23241981	5.0
xylanase IA	173	455113	5.5-6.0
xylanase II	173	18553703	5.5
assay at	173	15063320	5.6
xylanase IID	173	455113	6.0-6.5
xylanase I	173	18553703	6.0
assay at	173	20361933	6.0
	173	100069532	6.0
	173	17445930	7.0
xylanase Ib	174	455113	4.0-4.5
xylanase IIa, IIB and IIC	174	455113	4.0
	174	19078	4.0
	174	18553704	4.9
	174	18553705	5.0
	174	0	5.0
hybrid xylanase and its Aspergillus parent	174	18688581	5.0
	174	24888408	5.0
assay at	174	23241981	5.0
xylanase IA	174	455113	5.5-6.0
xylanase II	174	18553703	5.5
assay at	174	15063320	5.6
xylanase IID	174	455113	6.0-6.5
xylanase I	174	18553703	6.0
assay at	174	20361933	6.0
	174	100069532	6.0
	174	17445930	7.0
xylanase Ib	175	455113	4.0-4.5
xylanase IIa, IIB and IIC	175	455113	4.0
	175	19078	4.0
	175	18553704	4.9
	175	18553705	5.0
	175	0	5.0
hybrid xylanase and its Aspergillus parent	175	18688581	5.0
	175	24888408	5.0
assay at	175	23241981	5.0
xylanase IA	175	455113	5.5-6.0
xylanase II	175	18553703	5.5
assay at	175	15063320	5.6
xylanase IID	175	455113	6.0-6.5
xylanase I	175	18553703	6.0
assay at	175	20361933	6.0
	175	100069532	6.0
	175	17445930	7.0
xylanase Ib	176	455113	4.0-4.5
xylanase IIa, IIB and IIC	176	455113	4.0
	176	19078	4.0
	176	18553704	4.9
	176	18553705	5.0
	176	0	5.0
hybrid xylanase and its Aspergillus parent	176	18688581	5.0
	176	24888408	5.0
assay at	176	23241981	5.0
xylanase IA	176	455113	5.5-6.0
xylanase II	176	18553703	5.5
assay at	176	15063320	5.6
xylanase IID	176	455113	6.0-6.5
xylanase I	176	18553703	6.0
assay at	176	20361933	6.0
	176	100069532	6.0
	176	17445930	7.0
xylanase Ib	177	455113	4.0-4.5
xylanase IIa, IIB and IIC	177	455113	4.0
	177	19078	4.0
	177	18553704	4.9
	177	18553705	5.0
	177	0	5.0
hybrid xylanase and its Aspergillus parent	177	18688581	5.0
	177	24888408	5.0
assay at	177	23241981	5.0
xylanase IA	177	455113	5.5-6.0
xylanase II	177	18553703	5.5
assay at	177	15063320	5.6
xylanase IID	177	455113	6.0-6.5
xylanase I	177	18553703	6.0
assay at	177	20361933	6.0
	177	100069532	6.0
	177	17445930	7.0
xylanase Ib	178	455113	4.0-4.5
xylanase IIa, IIB and IIC	178	455113	4.0
	178	19078	4.0
	178	18553704	4.9
	178	18553705	5.0
	178	0	5.0
hybrid xylanase and its Aspergillus parent	178	18688581	5.0
	178	24888408	5.0
assay at	178	23241981	5.0
xylanase IA	178	455113	5.5-6.0
xylanase II	178	18553703	5.5
assay at	178	15063320	5.6
xylanase IID	178	455113	6.0-6.5
xylanase I	178	18553703	6.0
assay at	178	20361933	6.0
	178	100069532	6.0
	178	17445930	7.0
xylanase Ib	179	455113	4.0-4.5
xylanase IIa, IIB and IIC	179	455113	4.0
	179	19078	4.0
	179	18553704	4.9
	179	18553705	5.0
	179	0	5.0
hybrid xylanase and its Aspergillus parent	179	18688581	5.0
	179	24888408	5.0
assay at	179	23241981	5.0
xylanase IA	179	455113	5.5-6.0
xylanase II	179	18553703	5.5
assay at	179	15063320	5.6
xylanase IID	179	455113	6.0-6.5
xylanase I	179	18553703	6.0
assay at	179	20361933	6.0
	179	100069532	6.0
	179	17445930	7.0
xylanase Ib	180	455113	4.0-4.5
xylanase IIa, IIB and IIC	180	455113	4.0
	180	19078	4.0
	180	18553704	4.9
	180	18553705	5.0
	180	0	5.0
hybrid xylanase and its Aspergillus parent	180	18688581	5.0
	180	24888408	5.0
assay at	180	23241981	5.0
xylanase IA	180	455113	5.5-6.0
xylanase II	180	18553703	5.5
assay at	180	15063320	5.6
xylanase IID	180	455113	6.0-6.5
xylanase I	180	18553703	6.0
assay at	180	20361933	6.0
	180	100069532	6.0
	180	17445930	7.0
xylanase Ib	181	455113	4.0-4.5
xylanase IIa, IIB and IIC	181	455113	4.0
	181	19078	4.0
	181	18553704	4.9
	181	18553705	5.0
	181	0	5.0
hybrid xylanase and its Aspergillus parent	181	18688581	5.0
	181	24888408	5.0
assay at	181	23241981	5.0
xylanase IA	181	455113	5.5-6.0
xylanase II	181	18553703	5.5
assay at	181	15063320	5.6
xylanase IID	181	455113	6.0-6.5
xylanase I	181	18553703	6.0
assay at	181	20361933	6.0
	181	100069532	6.0
	181	17445930	7.0
	190	18592516	6.0
	191	18592516	6.0
	192	18592516	6.0
	193	18592516	6.0
assay at	205	25784958	5.0
assay at	206	25784958	5.0
recombinant enzyme	207	19412581	5.0
recombinant enzyme	208	19412581	5.0
recombinant enzyme	209	19412581	5.0
	211	20383603	8.0
	212	20383603	8.0
	213	20383603	8.0
	216	20383603	8.0
	217	20383603	8.0
