Commentary	Ref	Literature(PubmedID)	value
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	9	20851989	4.0-8.0
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	10	20851989	4.0-8.0
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	11	20851989	4.0-8.0
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	12	20851989	4.0-8.0
50% of maximal activity at pH 4.0 and pH 8.5	17	12829303	4.0-8.5
50% of maximal activity at pH 4.0 and pH 8.5	18	12829303	4.0-8.5
50% of maximal activity at pH 4.0 and pH 8.5	19	12829303	4.0-8.5
50% of maximal activity at pH 4.0 and pH 8.5	20	12829303	4.0-8.5
XynA4 shows over 40% of maximal activity within this range	53	19916085	3.8-9.4
XynA4 shows over 40% of maximal activity within this range	54	19916085	3.8-9.4
	61	18597051	5.8-6.2
29% of maximum activity	105	25331377	5.5
29% of maximum activity	106	25331377	5.5
about 47 and 41% activity is observed at pH 8 and 9, respectively	136	100112400	3.0-9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	137	100112400	3.0-9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	138	100112400	3.0-9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	139	100112400	3.0-9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	140	100112400	3.0-9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	141	100112400	3.0-9.0
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	162	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	163	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	164	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	165	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	166	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	167	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	168	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	169	0	4.8-8.4
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	171	18553705	2.8-7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	171	455113	3.0-8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	171	18553704	3.5-6.5
pH 3.5: about 70% of maximal activity, pH 8.0: about 30% of maximal activity, xylanase IA	171	455113	3.5-8.0
more than 50% maximal activity	171	0	3.6-6.5
	171	23670313	5.0
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	172	18553705	2.8-7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	172	455113	3.0-8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	172	18553704	3.5-6.5
pH 3.5: about 70% of maximal activity, pH 8.0: about 30% of maximal activity, xylanase IA	172	455113	3.5-8.0
more than 50% maximal activity	172	0	3.6-6.5
	172	23670313	5.0
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	173	18553705	2.8-7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	173	455113	3.0-8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	173	18553704	3.5-6.5
pH 3.5: about 70% of maximal activity, pH 8.0: about 30% of maximal activity, xylanase IA	173	455113	3.5-8.0
more than 50% maximal activity	173	0	3.6-6.5
	173	23670313	5.0
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	174	18553705	2.8-7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	174	455113	3.0-8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	174	18553704	3.5-6.5
pH 3.5: about 70% of maximal activity, pH 8.0: about 30% of maximal activity, xylanase IA	174	455113	3.5-8.0
more than 50% maximal activity	174	0	3.6-6.5
	174	23670313	5.0
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	175	18553705	2.8-7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	175	455113	3.0-8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	175	18553704	3.5-6.5
pH 3.5: about 70% of maximal activity, pH 8.0: about 30% of maximal activity, xylanase IA	175	455113	3.5-8.0
more than 50% maximal activity	175	0	3.6-6.5
	175	23670313	5.0
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	176	18553705	2.8-7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	176	455113	3.0-8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	176	18553704	3.5-6.5
pH 3.5: about 70% of maximal activity, pH 8.0: about 30% of maximal activity, xylanase IA	176	455113	3.5-8.0
more than 50% maximal activity	176	0	3.6-6.5
	176	23670313	5.0
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	177	18553705	2.8-7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	177	455113	3.0-8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	177	18553704	3.5-6.5
pH 3.5: about 70% of maximal activity, pH 8.0: about 30% of maximal activity, xylanase IA	177	455113	3.5-8.0
more than 50% maximal activity	177	0	3.6-6.5
	177	23670313	5.0
